site_sys,term,contrast,null.value,estimate,std.error,df,statistic,adj.p.value,cov,param
Central_grain,cc_trt,cc effect,0,-0.0014508236916384429,0.003226583813708166,12.719575930837976,-0.44964698746538284,0.6605318095017036,sand,field capacity
Central_silage,cc_trt,cc effect,0,0.01181476262174414,0.0035548349794259962,13.514157097579194,3.3235755499547506,0.005238961740488119,sand,field capacity
East_grain,cc_trt,cc effect,0,0.002152008225443652,0.003751750089396844,14.017065959654675,0.5736011659000515,0.5753261528215883,sand,field capacity
West_grain,cc_trt,cc effect,0,0.011177750828024887,0.004044653717818302,16.571815864433468,2.7635866029228824,0.01351352699929433,sand,field capacity
