cov,site_sys,respvar,cc,no,contrast,est_diff,diff_se,diff_pval
none,Central_grain,bd,1.421882014388846,1.3739568345327386,cc - no,0.04792517985610733,0.009944001022471784,2.459158405017791e-6
none,Central_silage,bd,1.4641151079136145,1.4360409016549953,cc - no,0.0280742062586193,0.011105076400689017,0.012063460027171189
none,East_grain,bd,1.4374100719424634,1.4877697841726785,cc - no,-0.05035971223021506,0.011117731127287159,9.036732841517159e-6
none,West_grain,bd,1.5733093525180153,1.4718705035971502,cc - no,0.10143884892086508,0.011117731127287159,2.1371833694798992e-17
sand,Central_grain,bd,1.3085051619016215,1.2753430145696831,cc - no,0.03316214733193835,0.012944665340833082,0.010953299726670326
sand,Central_silage,bd,1.3953106166030445,1.3856637507902954,cc - no,0.009646865812749157,0.013739933634935758,0.48321672474098787
sand,East_grain,bd,1.6534687906012322,1.7517750334051485,cc - no,-0.09830624280391645,0.014678950893065727,1.2225545517886516e-10
sand,West_grain,bd,1.492920212942399,1.4730654475389926,cc - no,0.019854765403406343,0.01505591383120274,0.18837093475465516
