site_sys,term,contrast,null.value,estimate,std.error,df,statistic,adj.p.value,cov,param
Central_grain,cc_trt,cc effect,0,-0.013222123156110531,0.007833600418158646,26,-1.6878730660630892,0.10339734734678838,sand,saturation
Central_silage,cc_trt,cc effect,0,0.004240254195214991,0.008315198214815802,26,0.5099402426342425,0.6143951044660487,sand,saturation
East_grain,cc_trt,cc effect,0,0.011267042450448744,0.00886655943780313,26,1.270734440961508,0.21507600270859267,sand,saturation
West_grain,cc_trt,cc effect,0,-0.006630231660618438,0.009095109647435685,26,-0.7289886452867332,0.4725247345408299,sand,saturation
Central_grain,cc_trt,cc effect,0,-0.016048920863309328,0.008191996668607258,13.050360279047727,-1.9590975817666982,0.07181865246773299,none,saturation
Central_silage,cc_trt,cc effect,0,0.002221053546488678,0.009023721302245366,14.068421051228185,0.24613498933483402,0.8091325851716695,none,saturation
East_grain,cc_trt,cc effect,0,0.0020863309352518976,0.009158930711228827,13.050360279047757,0.22779197714576668,0.8233380104580337,none,saturation
West_grain,cc_trt,cc effect,0,-0.022251798561150955,0.009158930711228825,13.050360279047762,-2.4295192596959283,0.030293744583977638,none,saturation
