cov,site_sys,respvar,cc,no,contrast,est_diff,diff_se,diff_pval
none,Central_grain,om,2.360000000001098,2.4800000000010884,cc - no,-0.11999999999999017,0.0512093635441859,0.01987279196900214
none,Central_silage,om,2.640000000000029,2.4162504928122432,cc - no,0.22374950718778547,0.05721175568265938,1.175173273384703e-4
none,East_grain,om,3.575000000000097,3.675000000000095,cc - no,-0.09999999999999763,0.0572538089846497,0.08189529620957066
none,West_grain,om,2.749999999999731,2.9749999999997296,cc - no,-0.22499999999999892,0.057253808984649705,1.092111218020183e-4
sand,Central_grain,om,3.034171548261277,3.066386288083482,cc - no,-0.032214739822204845,0.08248295889963506,0.6964275814008238
sand,Central_silage,om,3.0491314004333274,2.771576032981911,cc - no,0.2775553674514165,0.08755388531244333,0.0016986837523968225
sand,East_grain,om,2.290252384626262,2.1051484499066797,cc - no,0.18510393471958228,0.0933593773808281,0.048410240444631714
sand,West_grain,om,3.228017068754611,2.9678945178003926,cc - no,0.26012255095421843,0.09576586948424536,0.007027618359287207
