site_sys,respvar,cc,no,contrast,est_diff,diff_se,diff_pval
Central_grain,clay,27.73999999999147,27.999999999991623,cc - no,-0.26000000000015366,0.1862685902335247,0.16396455276155197
Central_silage,clay,28.750999999999724,29.894748662354708,cc - no,-1.1437486623549837,0.20813952100010746,9.34089261457231e-8
East_grain,clay,31.730000000003365,34.60625000000334,cc - no,-2.8762499999999767,0.20825461491760716,7.407024598427732e-33
West_grain,clay,27.34875000000064,29.5112500000006,cc - no,-2.1624999999999615,0.2082546149176072,2.4752430956399334e-21
