d_um,pore_cat,site_sys,cc_trt,rep_id,pct
789.4736842105262,Macropores (>30 um),East-grain,No Cover,East 1,0.2203652120086658
300,Macropores (>30 um),East-grain,No Cover,East 1,0.07273290003095084
120,Macropores (>30 um),East-grain,No Cover,East 1,0.2361497988238932
60,Macropores (>30 um),East-grain,No Cover,East 1,0.09532652429588438
30,Micropores (<30 um),East-grain,No Cover,East 1,0.1262766945218191
15,Micropores (<30 um),East-grain,No Cover,East 1,0.14484679665738223
5.999999999999999,Micropores (<30 um),East-grain,No Cover,East 1,0.10430207366140444
789.4736842105262,Macropores (>30 um),East-grain,No Cover,East 2,0.25432098765432126
300,Macropores (>30 um),East-grain,No Cover,East 2,0.14979423868312766
120,Macropores (>30 um),East-grain,No Cover,East 2,0.3083676268861458
60,Macropores (>30 um),East-grain,No Cover,East 2,0.08641975308641948
30,Micropores (<30 um),East-grain,No Cover,East 2,0.084224965706447
15,Micropores (<30 um),East-grain,No Cover,East 2,0.1075445816186557
5.999999999999999,Micropores (<30 um),East-grain,No Cover,East 2,0.009327846364883168
789.4736842105262,Macropores (>30 um),East-grain,No Cover,East 3,0.20291448996425593
300,Macropores (>30 um),East-grain,No Cover,East 3,0.12455320318944185
120,Macropores (>30 um),East-grain,No Cover,East 3,0.29584822656035187
60,Macropores (>30 um),East-grain,No Cover,East 3,0.09623315919714034
30,Micropores (<30 um),East-grain,No Cover,East 3,0.0896343139950515
15,Micropores (<30 um),East-grain,No Cover,East 3,0.10778113830079689
5.999999999999999,Micropores (<30 um),East-grain,No Cover,East 3,0.08303546879296159
789.4736842105262,Macropores (>30 um),East-grain,No Cover,East 4,0.23336271485235813
300,Macropores (>30 um),East-grain,No Cover,East 4,0.12979286029087755
120,Macropores (>30 um),East-grain,No Cover,East 4,0.28272366681357386
60,Macropores (>30 um),East-grain,No Cover,East 4,0.10070515645658856
30,Micropores (<30 um),East-grain,No Cover,East 4,0.10180696342000901
15,Micropores (<30 um),East-grain,No Cover,East 4,0.1200969590127804
5.999999999999999,Micropores (<30 um),East-grain,No Cover,East 4,0.031511679153812464
789.4736842105262,Macropores (>30 um),East-grain,Cover Crop,East 1,0.2207121500407723
300,Macropores (>30 um),East-grain,Cover Crop,East 1,0.15411796683881415
120,Macropores (>30 um),East-grain,Cover Crop,East 1,0.2538733351454196
60,Macropores (>30 um),East-grain,Cover Crop,East 1,0.07502038597444999
30,Micropores (<30 um),East-grain,Cover Crop,East 1,0.10138624626257155
15,Micropores (<30 um),East-grain,Cover Crop,East 1,0.1212285947268282
5.999999999999999,Micropores (<30 um),East-grain,Cover Crop,East 1,0.0736613210111442
789.4736842105262,Macropores (>30 um),East-grain,Cover Crop,East 2,0.3784643343934577
300,Macropores (>30 um),East-grain,Cover Crop,East 2,0.13312130849613832
120,Macropores (>30 um),East-grain,Cover Crop,East 2,0.2559442677570796
60,Macropores (>30 um),East-grain,Cover Crop,East 2,0.08405270331667447
30,Micropores (<30 um),East-grain,Cover Crop,East 2,0.05497501135847329
15,Micropores (<30 um),East-grain,Cover Crop,East 2,0.058912615477813214
5.999999999999999,Micropores (<30 um),East-grain,Cover Crop,East 2,0.03452975920036345
789.4736842105262,Macropores (>30 um),East-grain,Cover Crop,East 3,0.14660568127106424
300,Macropores (>30 um),East-grain,Cover Crop,East 3,0.18319691863264295
120,Macropores (>30 um),East-grain,Cover Crop,East 3,0.2922484352431398
60,Macropores (>30 um),East-grain,Cover Crop,East 3,0.0991815117958586
30,Micropores (<30 um),East-grain,Cover Crop,East 3,0.0878671160327399
15,Micropores (<30 um),East-grain,Cover Crop,East 3,0.11097737120847417
5.999999999999999,Micropores (<30 um),East-grain,Cover Crop,East 3,0.07992296581608035
789.4736842105262,Macropores (>30 um),East-grain,Cover Crop,East 4,0.20205956025605304
300,Macropores (>30 um),East-grain,Cover Crop,East 4,0.11299749512941869
120,Macropores (>30 um),East-grain,Cover Crop,East 4,0.25633175619259635
60,Macropores (>30 um),East-grain,Cover Crop,East 4,0.0951850821040918
30,Micropores (<30 um),East-grain,Cover Crop,East 4,0.10269969384915074
15,Micropores (<30 um),East-grain,Cover Crop,East 4,0.1358196493181187
5.999999999999999,Micropores (<30 um),East-grain,Cover Crop,East 4,0.09490676315057074
