site_sys,term,contrast,null.value,estimate,std.error,df,statistic,adj.p.value,cov,param
Central_grain,cc_trt,cc effect,0,-0.0024385937870012708,0.0056678769881333795,26,-0.43024818500945994,0.6705604823441871,sand,field capacity
Central_silage,cc_trt,cc effect,0,0.012279517406315284,0.006016329414029574,26,2.0410314265173852,0.05152059400997905,sand,field capacity
East_grain,cc_trt,cc effect,0,-0.0022649646253580288,0.00641525805745067,26,-0.35305900480924574,0.7268906449829173,sand,field capacity
West_grain,cc_trt,cc effect,0,0.012076642972903276,0.006580621926509735,26,1.8351826176570136,0.07794420323572135,sand,field capacity
Central_grain,cc_trt,cc effect,0,-0.004017266187050181,0.005021502577802465,13.043601247024114,-0.8000127700438694,0.4380315155061155,none,field capacity
Central_silage,cc_trt,cc effect,0,0.012417967983278601,0.005538820803855805,14.004907235490139,2.24198767626386,0.04167238206989467,none,field capacity
East_grain,cc_trt,cc effect,0,-0.007392086330935078,0.005614210556578368,13.043601247024059,-1.316674224530733,0.2106139411549506,none,field capacity
West_grain,cc_trt,cc effect,0,0.003352517985611647,0.005614210556578366,13.043601247024096,0.5971486020743174,0.5606315854681031,none,field capacity
