param,cc_trt,site_sys,estimate,std.error,df,statistic,p.value,conf.low,conf.high,cov,cilevel
saturation,cc,Central_grain,0.5217090205209945,0.013067667509441043,26,39.92365279756878,7.3257660613985925e-25,0.4948480452609415,0.5485699957810476,sand,0.95
saturation,no,Central_grain,0.5481532668332156,0.012608303527989096,26,43.47557667979467,8.244672735152314e-26,0.5222365277600892,0.574070005906342,sand,0.95
saturation,cc,Central_silage,0.5144296847709713,0.011838967168102696,26,43.452243550179,8.35902964035066e-26,0.49009433923380974,0.5387650303081328,sand,0.95
saturation,no,Central_silage,0.5059491763805413,0.012738715939238024,26,39.717439245356545,8.364079328355128e-25,0.4797643707569283,0.5321339820041542,sand,0.95
saturation,cc,East_grain,0.40269062033594694,0.01813361310693084,26,22.20686070455726,1.9793641610256324e-18,0.36541644476569035,0.4399647959062035,sand,0.95
saturation,no,East_grain,0.38015653543504946,0.02038562214230391,26,18.64826752803167,1.4314014250945952e-16,0.33825328899649376,0.42205978187360516,sand,0.95
saturation,cc,West_grain,0.4602099829947281,0.01331370618112295,26,34.566632065776254,2.901683801198439e-23,0.4328432680019883,0.4875766979874679,sand,0.95
saturation,no,West_grain,0.47347044631596497,0.01236548661896374,26,38.289673581454494,2.133559871193227e-24,0.4480528245475405,0.49888806808438946,sand,0.95
saturation,cc,Central_grain,0.4782906474820125,0.01710090605568412,21.112500966295705,27.968731359882238,3.605833919521393e-18,0.44273890182268605,0.513842393141339,none,0.95
saturation,no,Central_grain,0.5103884892086311,0.017100906055684106,21.112500966295595,29.845698675070203,9.451695878139095e-19,0.47483674354930466,0.5459402348679575,none,0.95
saturation,cc,Central_silage,0.48808057553956874,0.01710090605568411,21.11250096629542,28.54121143933993,2.3757677413450654e-18,0.4525288298802423,0.5236323211988952,none,0.95
saturation,no,Central_silage,0.48363846844659136,0.0187006934313632,23.852108847845905,25.862060688908702,5.8561665974246845e-19,0.4450294661841523,0.5222474707090304,none,0.95
saturation,cc,East_grain,0.48543165467625926,0.019119394208673736,21.112500966295443,25.38948929961586,2.627754138159084e-17,0.4456835946697407,0.5251797146827778,none,0.95
saturation,no,East_grain,0.48125899280575546,0.01911939420867374,21.112500966295443,25.171246931423518,3.135583381255593e-17,0.4415109327992369,0.521007052812274,none,0.95
saturation,cc,West_grain,0.4294244604316554,0.019119394208673736,21.11250096629542,22.460149926551647,3.2000510517275925e-16,0.38967640042513685,0.4691725204381739,none,0.95
saturation,no,West_grain,0.4739280575539573,0.019119394208673732,21.112500966295443,24.787817667306342,4.291959219755666e-17,0.43417999754743875,0.5136761175604758,none,0.95
