site,site_sys_crop,code,cc_trt,rep,Clay,Silt,Sand
Boyd42,Boyd42 sil soy,B42-p7,cc,1,28.604999999999997,41.845,29.545
Boyd42,Boyd42 sil soy,B42-p2,no,1,29.215,41.39,29.395
Boyd42,Boyd42 sil soy,B42-p31,cc,5,28.115,39.815,32.07
Boyd42,Boyd42 sil soy,B42-p28,no,5,29.155,41.31,29.535
Boyd42,Boyd42 sil soy,B42-p16,no,3,32.41,42.39,25.2
Boyd42,Boyd42 sil soy,B42-p21,cc,4,30.549999999999997,43.555,25.895
Funcke,Funcke gr corn,F-2no,no,1,25.520000000000003,38.260000000000005,36.215
Boyd42,Boyd42 sil soy,B42-p18,cc,3,30.08,43.535,25.759999999999998
Boyd42,Boyd42 sil soy,B42-p10,cc,2,26.405,37.815,35.785
Boyd42,Boyd42 sil soy,B42-p11,no,2,28.715,39.66,31.625
Boyd42,Boyd42 sil soy,B42-p20,no,4,29.865000000000002,41.2,28.479999999999997
Funcke,Funcke gr corn,F-4no,no,2,27.990000000000002,45.745000000000005,26.259999999999998
Boyd42,Boyd42 gr soy,B42-p12,cc,2,26.509999999999998,40.545,32.945
Stout,Stout gr soy,St-5no,no,3,34.44,55.15,10.405000000000001
Stout,Stout gr soy,St-8cc,cc,4,29.165,51.39,19.450000000000003
Boyd42,Boyd42 gr soy,B42-p34,cc,4,30.645,39.11,30.240000000000002
Funcke,Funcke gr corn,F-3cc,cc,2,25.424999999999997,40.455,34.114999999999995
Stout,Stout gr soy,St-6cc,cc,3,32.61,55.755,11.635
Boyd42,Boyd42 gr soy,B42-p22,no,4,28.755,41.695,29.544999999999998
Boyd42,Boyd42 gr soy,B42-p6,no,1,27.735,38.650000000000006,33.614999999999995
Stout,Stout gr soy,St-1no,no,1,30.715,53.615,15.67
Funcke,Funcke gr corn,F-6no,no,3,30.23,48.584999999999994,21.18
Boyd42,Boyd42 gr soy,B42-p15,no,3,28.689999999999998,40.760000000000005,30.549999999999997
Stout,Stout gr soy,St-2cc,cc,1,25.64,53.795,20.564999999999998
Boyd42,Boyd42 gr soy,B42-p27,cc,5,26.055,36.06,37.885
Stout,Stout gr soy,St-7no,no,4,33.325,53.3,13.375
Stout,Stout gr soy,St-3no,no,2,32.845,54.945,12.205
Boyd42,Boyd42 gr soy,B42-p5,cc,1,26.255,40.22,33.525
Funcke,Funcke gr corn,F-8cc,cc,4,34.595,44.92,19.5
Funcke,Funcke gr corn,F-5cc,cc,3,26.05,45.225,28.73
Funcke,Funcke gr corn,F-7no,no,4,34.305,46.32,18.785
Stout,Stout gr soy,St-4cc,cc,2,31.64,54.34,14.02
Boyd42,Boyd42 gr soy,B42-p13,no,2,27.14,40.269999999999996,32.589999999999996
Boyd42,Boyd42 gr soy,B42-p26,no,5,27.68,40.620000000000005,31.7
Boyd42,Boyd42 gr soy,B42-p14,cc,3,29.235,42.925,27.835
Funcke,Funcke gr corn,F-1cc,cc,1,23.325,36.985,39.68
