param,cc_trt,site_sys,estimate,std.error,df,conf.low,conf.high,cov
"avg of 50-100, field capacity",cc,Central_grain,0.38165254511041957,0.008690732314247673,20.244508293035825,0.36667225786481394,0.3966328323560252,sand
"avg of 50-100, field capacity",no,Central_grain,0.3845541924936965,0.008304682990076428,20.083939318477686,0.3702338577280709,0.3988745272593221,sand
"avg of 50-100, field capacity",cc,Central_silage,0.4150780533219843,0.007648870051497817,19.76011085893542,0.4018781338212987,0.42827797282266983,sand
"avg of 50-100, field capacity",no,Central_silage,0.391448528078496,0.008000678010546472,21.80002862574175,0.3777046719261674,0.4051923842308246,sand
"avg of 50-100, field capacity",cc,East_grain,0.35704353677655465,0.012593265447839782,20.950362986080474,0.33537139746185546,0.37871567609125384,sand
"avg of 50-100, field capacity",no,East_grain,0.35273952032566736,0.014382103996266776,21.200553889391205,0.3280024052618367,0.377476635389498,sand
"avg of 50-100, field capacity",cc,West_grain,0.3644844333201338,0.008618221555853206,19.79252157597886,0.3496128668072467,0.37935599983302093,sand
"avg of 50-100, field capacity",no,West_grain,0.34212893166408404,0.0077928607995953175,19.3387111155154,0.3286661105889298,0.35559175273923826,sand
"avg of 50-100, field capacity",cc,Central_grain,0.3590733812949619,0.009620002753317864,18.967448344239546,0.34243765748518545,0.3757091051047384,no sand
"avg of 50-100, field capacity",no,Central_grain,0.3649151079136674,0.009620002753317865,18.967448344239664,0.3482793841038909,0.38155083172344384,no sand
"avg of 50-100, field capacity",cc,Central_silage,0.4013755395683452,0.00962000275331786,18.967448344239862,0.38473981575856875,0.41801126337812167,no sand
"avg of 50-100, field capacity",no,Central_silage,0.37969264723948803,0.010315417311272411,21.830597370306013,0.36197354770673495,0.3974117467722411,no sand
"avg of 50-100, field capacity",cc,East_grain,0.40007194244604344,0.010755490050076939,18.967448344239777,0.3814726377992575,0.4186712470928294,no sand
"avg of 50-100, field capacity",no,East_grain,0.40531654676259005,0.010755490050076942,18.967448344239795,0.3867172421158041,0.423915851409376,no sand
"avg of 50-100, field capacity",cc,West_grain,0.3484748201438854,0.01075549005007694,18.967448344239763,0.3298755154970995,0.36707412479067136,no sand
"avg of 50-100, field capacity",no,West_grain,0.34236690647482027,0.010755490050076939,18.967448344239777,0.3237676018280343,0.3609662111216062,no sand
