site_sys,term,contrast,null.value,estimate,std.error,df,statistic,adj.p.value,cov,param
Central_grain,cc_trt,cc effect,0,-0.012087022182669119,0.008021638784061563,13.05123852083684,-1.5068021021695952,0.15567854505852488,sand,saturation
Central_silage,cc_trt,cc effect,0,0.0023616978696700177,0.008656627454442392,14.521571364532939,0.27281962659234527,0.7888332485872405,sand,saturation
East_grain,cc_trt,cc effect,0,0.018187922014865306,0.00917903469087608,14.09122424514479,1.981463479263677,0.06739691581220321,sand,saturation
West_grain,cc_trt,cc effect,0,-0.006714937787674642,0.009392123957270938,15.147807348062942,-0.7149541273330677,0.4855113632012099,sand,saturation
