site_sys,term,contrast,null.value,estimate,std.error,df,statistic,p.value,var
Central-grain,cc_trt,cc - no,0,-0.08676040094718147,0.26757021279728405,13.732302967009113,-0.32425283831168716,0.7506327903534782,"om, clay cov"
Central-silage,cc_trt,cc - no,0,0.3233138097623931,0.27151791872216924,14.364145585265867,1.1907641723389315,0.25305281691046194,"om, clay cov"
East-grain,cc_trt,cc - no,0,1.1171633465175161,0.3258563844486763,17.524382044893997,3.4283917696063244,0.0030918245151637437,"om, clay cov"
West-grain,cc_trt,cc - no,0,0.05146397289132394,0.31258747320741664,15.656547546689193,0.1646386285517435,0.871335254152479,"om, clay cov"
