param,cc_trt,site_sys,estimate,std.error,df,conf.low,conf.high,cov
saturation,cc,Central_grain,0.5077460133136776,0.011713810716297724,23.064962508532872,0.48767241747120665,0.5278196091561487,sand
saturation,no,Central_grain,0.5312415259258202,0.01124862009111796,23.544236638839067,0.511981505766371,0.5505015460852694,sand
saturation,cc,Central_silage,0.5063054216723979,0.010464112492982722,24.397360432569446,0.48841424999131017,0.5241965933534856,sand
saturation,no,Central_silage,0.4917708141220213,0.011333852519661281,25.157921802550266,0.47241567097714243,0.5111259572669001,sand
saturation,cc,East_grain,0.3989706897334339,0.016613409453659893,20.608155958802914,0.3703582029467838,0.42758317652008404,sand
saturation,no,East_grain,0.3770723422843871,0.01882996068107898,19.637422391205455,0.34456685109439356,0.4095778334743806,sand
saturation,cc,West_grain,0.4473204072598797,0.01177844185092768,24.319276622549513,0.42717949082649187,0.46746132369326754,sand
saturation,no,West_grain,0.44894593793026855,0.010801820314830186,25.251790382847805,0.4305019808375007,0.4673898950230364,sand
saturation,cc,Central_grain,0.4678043165467623,0.015419438718513855,21.602155690203823,0.44130548091832345,0.49430315217520115,no sand
saturation,no,Central_grain,0.4965007194244602,0.015419438718513869,21.602155690203844,0.4700018837960213,0.5229995550528991,no sand
saturation,cc,Central_silage,0.48206618705035986,0.015419438718513869,21.602155690203844,0.45556735142192095,0.5085650226787988,no sand
saturation,no,Central_silage,0.47030773535148684,0.01692802517956987,24.229271646932272,0.441356871361696,0.4992585993412777,no sand
saturation,cc,East_grain,0.47508633093525204,0.017239456574744624,21.60215569020387,0.4454597320403607,0.5047129298301434,no sand
saturation,no,East_grain,0.47007913669064755,0.01723945657474463,21.60215569020387,0.44045253779575616,0.49970573558553893,no sand
saturation,cc,West_grain,0.419,0.017239456574744627,21.60215569020387,0.3893734011051086,0.44862659889489137,no sand
saturation,no,West_grain,0.4493669064748201,0.017239456574744634,21.60215569020387,0.4197403075799287,0.47899350536971147,no sand
