site_sys,term,contrast,null.value,estimate,std.error,df,statistic,adj.p.value,cov,param
Central_grain,cc_trt,cc effect,0,-0.0028621084695636457,0.0034231042045721125,12.74740113958467,-0.836114911646813,0.4184878414961086,sand,field capacity
Central_silage,cc_trt,cc effect,0,0.01127630398721589,0.0037696937316359803,13.58611624469366,2.9913050740920997,0.009989898202498711,sand,field capacity
East_grain,cc_trt,cc effect,0,0.00229049081245737,0.0040385612574071845,14.616266039690638,0.567155149189912,0.5792157919472614,sand,field capacity
West_grain,cc_trt,cc effect,0,0.00871082177939615,0.004246420049598575,16.40566571684368,2.0513330470497393,0.05655513819931605,sand,field capacity
